aon,total_mou,total_data_usage,segment,churn
968,16.32,519.32,1,0
1006,4600.27,476.54,1,0
1103,9070.229999999998,13.59,1,0
2491,7000.959999999998,0.0,2,0
1526,5594.710000000001,1.0,1,0
1471,3675.82,0.0,1,0
1673,28616.86,0.0,0,0
802,10685.48,95.86,1,0
315,5563.2,2177.76,1,0
902,5417.11,8.370000000000001,1,0
414,1328.8199999999993,752.41,1,0
339,3847.72,6.88,1,0
3557,2512.11,0.0,2,0
2607,18238.26,3.02,2,0
912,5574.700000000001,0.0,1,0
270,14394.670000000002,0.0,1,0
511,8642.649999999998,24.34,1,0
667,8146.890000000002,0.0,1,0
364,692.0600000000002,0.0,1,0
1104,1261.1400000000003,2667.27,1,0
3108,6699.440000000001,1.33,2,0
720,18514.44,0.0,0,0
396,2500.8600000000006,0.0,1,0
604,4795.459999999999,2035.48,1,0
3072,12065.98,0.0,2,0
517,7324.9299999999985,0.0,1,0
766,84.21,2805.1800000000003,1,0
256,2146.979999999999,0.0,1,0
502,3486.3700000000003,153.22000000000003,1,0
263,921.0199999999998,0.0,1,0
673,6040.620000000002,0.0,1,0
223,4764.799999999999,0.0,1,0
229,404.4099999999999,133.62,1,0
1328,451.88,29932.97,3,0
1587,687.8200000000002,193.49,1,0
2036,680.0400000000001,0.0,2,0
479,10351.33,0.0,1,0
384,2905.69,0.0,1,0
1155,10809.300000000005,3.0,1,0
424,590.4499999999999,842.2700000000001,1,0
2202,1024.83,1594.06,2,0
2010,6771.209999999998,0.0,2,0
2614,4946.01,0.0,2,0
2372,4448.25,0.0,2,0
2715,3446.8100000000013,3197.08,2,0
740,335.19,0.0,1,0
1092,3384.710000000002,942.53,1,0
3105,2419.02,2671.07,2,0
1265,35821.82000000001,0.0,0,0
1292,5481.900000000001,0.0,1,0
2574,4236.539999999999,0.0,2,0
376,4407.71,0.0,1,0
889,280.2699999999999,855.42,1,0
697,16389.269999999993,13.09,0,0
538,17933.109999999993,0.0,0,0
694,1993.8800000000008,6.109999999999999,1,0
729,4385.13,6893.52,3,0
3106,10798.5,25225.46,3,0
471,2845.71,0.0,1,0
259,10762.680000000002,0.0,1,0
3292,6774.420000000001,0.0,2,0
1131,14356.79,1184.2700000000002,1,0
478,5202.049999999999,1.0,1,0
1535,15012.839999999997,4602.01,0,0
2742,6087.22,6.02,2,0
2776,2653.4500000000003,0.14,2,0
973,2149.69,0.0,1,0
1158,427.42,7178.280000000001,3,0
335,2220.6900000000005,0.0,1,0
607,19111.119999999995,0.0,0,0
512,6443.309999999998,0.0,1,0
1843,3840.67,3.0,2,0
2356,4604.130000000001,0.0,2,0
2283,56917.91,155.08,0,0
444,11340.100000000002,0.0,1,0
2966,4655.62,0.0,2,0
2791,1798.0,0.0,2,0
1894,3355.22,97.48,2,0
387,1521.489999999999,0.0,1,0
252,3144.9700000000003,0.0,1,0
2584,5590.479999999999,0.0,2,0
480,1456.83,754.73,1,0
486,12354.230000000003,1064.4299999999998,1,0
433,2995.8300000000017,158.69,1,0
508,756.7400000000001,1294.66,1,0
3659,2089.57,0.17,2,0
465,3791.730000000001,3846.0,1,0
3201,12535.059999999996,327.15,2,0
1386,4658.779999999999,3.0,1,0
430,6659.129999999999,0.0,1,0
759,5939.950000000001,0.0,1,0
707,1502.7700000000002,1111.2199999999998,1,0
3226,11204.810000000003,2974.72,2,0
