aon,total_mou,total_data_usage
968,16.32,519.32
1006,4600.27,476.54
1103,9070.229999999998,13.59
2491,7000.959999999998,0.0
1526,5594.710000000001,1.0
1471,3675.8199999999997,0.0
1673,28616.859999999993,0.0
802,10685.480000000001,95.86
315,5563.2,2177.7599999999998
902,5417.11,8.370000000000001
414,1328.8199999999993,752.41
339,3847.72,6.88
3557,2512.11,0.0
2607,18238.260000000002,3.02
912,5574.700000000001,0.0
270,14394.670000000002,0.0
511,8642.649999999998,24.34
667,8146.890000000002,0.0
364,692.0600000000002,0.0
1104,1261.1400000000003,2667.27
3108,6699.440000000001,1.33
720,18514.440000000002,0.0
396,2500.8600000000006,0.0
604,4795.459999999999,2035.4799999999998
3072,12065.98,0.0
517,7324.9299999999985,0.0
766,84.21,2805.1800000000003
256,2146.979999999999,0.0
502,3486.3700000000003,153.22000000000003
263,921.0199999999998,0.0
673,6040.620000000002,0.0
223,4764.799999999999,0.0
229,404.4099999999999,133.62
1328,451.88,29932.97
1587,687.8200000000002,193.49
2036,680.0400000000001,0.0
479,10351.33,0.0
384,2905.69,0.0
1155,10809.300000000003,3.0
424,590.4499999999999,842.2700000000001
2202,1024.83,1594.06
2010,6771.209999999998,0.0
2614,4946.01,0.0
2372,4448.25,0.0
2715,3446.8100000000013,3197.08
740,335.19,0.0
1092,3384.710000000002,942.53
3105,2419.02,2671.07
1265,35821.82000000001,0.0
1292,5481.900000000001,0.0
2574,4236.539999999999,0.0
376,4407.71,0.0
889,280.2699999999999,855.42
697,16389.269999999993,13.09
538,17933.109999999993,0.0
694,1993.8800000000006,6.109999999999999
729,4385.13,6893.52
3106,10798.5,25225.46
471,2845.7099999999996,0.0
259,10762.680000000002,0.0
3292,6774.420000000001,0.0
1131,14356.79,1184.2700000000002
478,5202.049999999999,1.0
1535,15012.839999999997,4602.01
2742,6087.22,6.02
2776,2653.4500000000003,0.14
973,2149.6899999999996,0.0
1158,427.42,7178.280000000001
335,2220.6900000000005,0.0
607,19111.119999999995,0.0
512,6443.309999999998,0.0
1843,3840.6699999999996,3.0
2356,4604.130000000001,0.0
2283,56917.909999999996,155.08
444,11340.100000000002,0.0
2966,4655.62,0.0
2791,1798.0,0.0
1894,3355.2199999999993,97.48
387,1521.4899999999993,0.0
252,3144.9700000000003,0.0
2584,5590.479999999999,0.0
480,1456.83,754.73
486,12354.230000000005,1064.4299999999998
433,2995.8300000000017,158.69
508,756.7400000000001,1294.66
3659,2089.57,0.17
465,3791.7300000000005,3846.0
3201,12535.059999999996,327.15
1386,4658.779999999999,3.0
430,6659.129999999999,0.0
759,5939.950000000001,0.0
707,1502.7700000000002,1111.2199999999998
3226,11204.810000000005,2974.72
494,2887.7299999999996,0.0
610,1013.0199999999999,0.0
1766,4479.629999999999,0.0
970,22778.14000000001,0.0
502,5245.899999999998,0.0
905,3882.9900000000016,0.0
1384,1544.3100000000002,0.0
238,1577.8900000000003,0.0
359,7104.42,2674.72
1727,9532.719999999998,51.800000000000004
902,35305.64,0.0
315,825.96,2438.39
467,17067.519999999997,3517.14
478,9700.809999999996,0.0
249,341.82,671.4100000000001
2910,3518.7699999999995,0.0
448,1697.1700000000005,0.0
1508,2318.059999999999,0.0
332,1349.17,286.5
740,1042.04,0.0
1421,796.6999999999999,0.0
973,1282.12,0.0
2954,35631.54,1644.3300000000002
3532,6693.980000000001,0.0
300,2559.1000000000004,0.0
587,10581.590000000004,0.0
627,7772.589999999998,0.0
1161,7555.93,3.13
2888,1338.1999999999998,0.0
426,5284.79,0.0
2328,1928.5699999999997,0.0
516,6888.250000000001,413.9200000000001
435,1080.8599999999997,648.9
2864,7279.650000000001,0.0
3109,5083.970000000001,0.0
1029,8700.749999999998,0.0
439,564.0200000000001,0.0
502,502.75000000000006,233.69
2012,11587.640000000001,1.28
885,10538.109999999997,0.0
1218,33942.130000000005,3335.44
1022,5410.170000000002,4241.52
207,14659.9,0.0
2719,13532.29,0.0
479,9188.109999999999,816.29
617,939.29,0.0
2835,3671.2700000000004,107.52000000000001
1001,13373.04,0.0
786,2396.22,0.0
1781,4257.840000000001,0.0
264,5779.92,0.0
1179,1328.94,0.0
2624,10002.519999999997,4257.78
1307,25194.920000000006,1.0
3299,5910.68,2933.1099999999997
2633,5373.330000000001,1541.2299999999998
2869,23609.28,4720.88
1390,3399.680000000001,0.0
439,8938.329999999998,0.0
888,1897.7900000000006,0.0
1607,5768.330000000001,0.0
2477,49749.07000000001,5.68
2891,218.15999999999997,0.0
387,7420.309999999999,0.0
2015,10068.230000000001,6810.42
542,23612.16,2814.2799999999997
507,707.0800000000002,0.0
1071,8779.29,0.0
2099,460.22,385.80999999999995
1850,3477.6200000000003,0.0
2258,2617.489999999999,0.0
1421,3553.940000000001,0.0
2434,7109.470000000002,0.0
232,7394.959999999996,1698.03
362,5090.99,0.0
2450,2500.55,0.0
601,5625.950000000001,299.98
1983,10355.69,8373.09
1203,6458.18,13.0
229,1509.12,1045.19
3471,41684.85,3.0
687,11295.659999999998,13.47
258,11856.309999999996,0.0
1012,4769.360000000001,4041.55
1314,1717.2000000000005,9601.230000000001
603,10097.849999999999,0.0
611,379.6099999999999,0.0
479,197.98000000000013,0.0
3608,8123.939999999999,0.0
2090,22803.809999999998,1779.2600000000002
1622,3117.69,0.0
490,8354.540000000003,52.36
2983,6673.969999999998,2325.43
1262,2396.7200000000003,0.0
219,977.7199999999999,211.57999999999998
244,1588.1899999999998,3637.36
2555,2260.7700000000004,0.0
875,6369.689999999999,0.0
780,3156.9100000000017,3302.8799999999997
1185,6673.28,0.0
773,3005.3199999999993,3267.58
267,904.7,0.0
2412,13462.420000000002,0.0
2600,2616.0099999999993,428.28
334,3158.93,3.63
978,6168.280000000001,0.0
1145,13954.979999999998,0.0
359,5991.570000000002,0.0
1069,0.0,0.0
925,0.0,0.0
1878,9102.959999999997,0.0
410,22047.709999999992,8955.92
495,3108.7700000000004,0.0
487,11200.970000000001,1943.0
269,1022.6499999999997,0.0
308,23120.58,6224.6
326,5294.059999999998,0.0
541,74.23,2292.8799999999997
1994,3671.7700000000004,0.0
705,2019.24,3808.3199999999997
3351,14483.299999999996,2951.66
425,5212.959999999999,121.28000000000002
884,3911.18,333.28000000000003
2834,403.30000000000007,807.06
535,1266.0600000000004,0.0
568,26558.71,3556.9
496,4711.04,81.56
301,4081.1100000000006,0.0
840,909.9399999999998,0.0
2569,1868.6000000000004,0.0
868,8345.620000000003,0.0
1111,11380.590000000002,104.71000000000001
565,15196.09,485.25
1522,9407.779999999999,0.0
258,2287.21,0.0
492,2592.120000000001,278.94
1267,2928.35,0.0
728,3101.920000000001,480.56
1006,8186.37,0.0
671,0.0,0.0
249,4171.510000000001,0.0
328,3711.1600000000008,1052.48
3410,13600.029999999997,0.0
803,14824.059999999998,0.0
253,1337.9699999999998,0.0
605,1560.1999999999996,0.0
1995,3404.1399999999994,0.0
443,7164.919999999997,0.0
311,30793.09000000001,582.52
3472,3127.95,1660.44
448,7031.300000000001,0.0
834,15600.830000000004,7.0
845,13061.939999999995,0.0
2706,18586.159999999993,8264.39
3106,3454.55,0.0
509,72.65,2831.9399999999996
646,5768.130000000001,0.0
2546,5997.780000000002,0.0
2372,3746.67,8.05
1525,9936.050000000005,776.94
1985,13675.489999999996,2189.68
2494,2776.5500000000006,0.0
2372,30904.570000000003,0.0
306,2786.350000000001,1654.7700000000002
286,653.68,2.8200000000000003
2236,6599.290000000001,0.0
1281,7805.3499999999985,0.0
1433,2385.9700000000007,0.0
1174,2905.8200000000006,68.0
1310,3125.489999999999,0.0
462,3884.2600000000007,2057.71
1057,12457.300000000001,0.0
782,244.15,1681.13
935,25387.269999999986,308.06
307,4342.349999999999,0.0
582,2511.9300000000003,0.0
560,1627.44,0.0
1307,1976.86,23848.85
750,6597.68,26.19
831,4095.0600000000018,0.0
557,3674.6600000000003,0.0
